	FIPS_CTY	MURDER	RAPE	ROBBERY	AGASSLT	BURGLRY	LARCENY	MVTHEFT	ARSON
1	1	3	15	34	87	447	1233	85	108
1	3	8	30	76	332	967	3829	192	31
1	5	0	4	8	36	90	362	21	0
1	7	1	4	8	36	122	251	27	0
1	9	1	11	9	101	397	865	86	9
1	11	0	2	12	43	98	55	3	23
1	13	6	5	11	87	182	408	30	3
1	15	6	37	131	504	1710	3482	147	34
1	17	1	7	24	160	374	875	96	5
1	19	1	4	2	102	329	610	75	12
1	21	0	13	14	129	389	886	87	8
1	23	1	0	0	12	38	42	5	0
1	25	0	16	12	93	172	399	34	1
1	27	0	0	3	55	26	95	11	24
1	29	0	1	2	25	88	178	8	2
1	31	2	5	12	155	321	786	73	13
1	33	2	15	34	212	636	1342	112	3
1	35	1	4	8	70	108	252	42	5
1	37	0	2	2	17	74	138	12	2
1	39	1	13	7	78	282	684	38	12
1	41	1	3	3	60	85	133	23	2
1	43	2	16	13	161	483	1483	99	6
1	45	1	8	32	164	325	930	63	13
1	47	9	24	70	245	743	1415	158	26
1	49	0	20	9	242	558	1085	131	10
1	51	4	23	44	159	665	1367	85	14
1	53	3	7	18	207	299	793	62	14
1	55	2	45	126	361	1241	2674	294	42
1	57	1	9	3	26	52	110	17	7
1	59	0	10	13	134	216	494	35	2
1	61	0	7	5	73	162	394	34	9
1	63	0	2	7	70	48	90	15	12
1	65	0	3	2	16	66	67	14	1
1	67	4	5	6	52	140	186	17	4
1	69	7	42	108	259	1095	2380	184	18
1	71	0	17	2	185	452	858	84	11
1	73	85	268	1597	3315	9910	19810	1809	185
1	75	0	2	2	14	32	108	7	0
1	77	3	28	55	157	612	1600	100	6
1	79	0	4	6	89	206	362	49	5
1	81	8	26	77	261	954	2942	128	9
1	83	4	2	25	104	398	1146	56	0
1	85	1	3	8	51	117	127	25	7
1	87	6	10	25	140	516	640	110	3
1	89	18	107	523	1445	3217	8556	919	33
1	91	3	8	9	72	148	356	21	4
1	93	1	7	3	74	201	402	42	5
1	95	1	23	29	124	800	1648	127	8
1	97	46	87	661	1493	4458	12315	1034	92
1	99	0	8	8	91	129	423	25	2
1	101	45	45	465	344	3656	7855	1171	66
1	103	2	16	86	201	1114	2595	166	12
1	105	0	0	0	0	0	0	0	0
1	107	5	2	1	34	74	135	5	0
1	109	4	6	21	107	316	779	61	7
1	111	0	4	3	54	228	408	44	6
1	113	2	24	70	172	776	1484	218	0
1	115	9	15	20	132	341	1166	67	16
1	117	8	38	63	252	820	3110	203	8
1	119	1	2	4	67	99	194	15	0
1	121	3	25	39	198	1028	2262	185	8
1	123	3	6	17	179	296	809	52	4
1	125	10	56	234	568	1932	5013	367	28
1	127	2	16	56	219	780	1839	170	11
1	129	2	3	3	46	68	146	23	6
1	131	0	1	5	32	45	103	11	2
1	133	1	12	3	74	177	385	48	6
1	777	0	0	3	1	77	207	12	2
2	13	0	0	0	0	0	0	0	0
2	16	1	1	1	10	8	43	10	0
2	20	15	303	488	1676	1159	8724	845	98
2	50	1	14	2	32	39	58	38	4
2	60	0	0	0	1	5	32	7	0
2	70	0	18	1	28	12	55	7	0
2	90	3	29	39	112	148	1283	118	5
2	100	0	0	0	4	2	25	1	0
2	110	0	9	16	90	94	975	30	9
2	122	0	3	4	89	61	693	26	3
2	130	0	9	4	16	31	284	8	1
2	150	0	8	10	103	23	200	31	3
2	164	0	0	0	0	0	0	0	0
2	170	0	4	8	49	77	511	28	8
2	180	0	3	2	18	12	23	9	2
2	185	1	14	3	52	36	59	11	1
2	188	0	23	12	43	46	126	38	2
2	201	0	0	0	5	3	20	3	0
2	220	0	1	1	10	17	120	6	0
2	232	0	0	0	2	0	19	0	0
2	240	0	0	0	0	0	0	0	0
2	261	0	0	0	18	11	135	10	0
2	270	0	0	0	0	0	0	0	0
2	280	0	0	0	15	22	112	9	0
2	282	0	0	0	0	0	0	0	0
2	290	0	0	0	0	0	0	0	0
2	777	1	0	0	0	0	0	0	0
2	999	8	137	37	746	1133	1955	278	51
4	1	1	2	3	63	159	237	12	41
4	3	4	40	52	669	713	2662	197	32
4	5	4	47	56	350	555	3598	117	52
4	7	1	4	11	114	252	587	55	19
4	9	1	0	0	229	119	251	21	7
4	11	1	3	1	50	37	88	4	0
4	12	0	0	2	79	151	408	54	0
4	13	208	1088	5341	9810	32859	90864	11818	758
4	15	12	31	57	267	1790	4842	444	20
4	17	3	13	13	355	659	1702	88	8
4	19	56	345	1481	2883	8284	11683	3599	310
4	21	13	67	114	570	2207	6811	587	71
4	23	1	0	13	39	191	490	72	0
4	25	12	44	47	584	943	3186	221	42
4	27	8	41	72	576	1567	3078	394	45
4	777	27	443	89	1222	1759	2542	1022	549
5	1	0	4	24	83	339	429	34	7
5	3	3	3	8	38	198	320	22	9
5	5	3	13	3	30	215	969	45	1
5	7	3	112	29	490	1214	3461	176	22
5	9	1	21	3	108	292	737	71	9
5	11	1	1	9	20	141	65	10	1
5	13	2	1	0	7	12	26	2	0
5	15	1	18	3	47	178	471	56	1
5	17	0	4	8	56	83	171	2	2
5	19	5	10	4	69	201	486	19	1
5	21	0	2	1	11	93	90	3	3
5	23	0	14	3	46	323	518	52	9
5	25	0	0	1	6	70	47	9	0
5	27	0	3	5	38	388	318	31	1
5	29	0	8	0	49	112	446	35	10
5	31	4	29	82	212	1387	2285	110	18
5	33	1	24	8	162	456	1060	70	1
5	35	8	38	165	662	1482	1753	189	28
5	37	0	5	3	53	190	244	8	5
5	39	2	5	7	27	80	144	5	1
5	41	0	6	8	38	106	175	13	3
5	43	1	8	5	54	151	423	23	2
5	45	4	62	80	230	1064	2823	228	15
5	47	2	7	2	46	99	287	24	3
5	49	0	3	1	14	34	148	11	1
5	51	10	37	63	268	1612	3379	240	2
5	53	1	3	3	49	137	219	22	4
5	55	2	15	17	87	685	1077	93	7
5	57	2	16	12	116	332	615	51	6
5	59	0	5	4	12	39	96	7	2
5	61	0	6	2	35	120	297	4	0
5	63	0	22	16	170	601	830	121	25
5	65	0	8	1	18	148	197	14	5
5	67	0	10	15	38	235	557	50	7
5	69	14	42	139	507	1400	2306	255	44
5	71	2	12	1	38	271	445	10	3
5	73	0	1	0	3	30	32	0	1
5	75	0	2	1	19	64	121	5	3
5	77	0	2	6	5	87	158	14	2
5	79	0	3	3	10	76	54	4	0
5	81	0	8	1	31	61	165	5	3
5	83	0	11	1	31	196	271	33	1
5	85	0	28	18	174	864	1145	121	15
5	87	0	9	0	38	48	77	7	3
5	89	0	6	1	47	117	190	6	1
5	91	1	9	45	360	488	1597	130	6
5	93	8	21	47	266	891	1273	114	6
5	95	1	3	5	19	57	133	6	2
5	97	0	0	0	0	7	9	0	1
5	99	0	1	4	14	61	120	9	5
5	101	0	5	0	0	12	7	0	0
5	103	2	1	11	75	240	471	8	3
5	105	0	4	1	25	37	127	7	0
5	107	1	8	26	132	478	442	33	11
5	109	0	1	1	7	34	58	7	0
5	111	2	23	7	55	217	424	16	5
5	113	1	9	3	46	214	360	13	8
5	115	1	28	7	123	526	1243	108	3
5	117	1	1	0	5	17	123	1	0
5	119	61	179	1058	2458	7065	18011	1805	130
5	121	0	0	0	5	40	21	1	2
5	123	4	7	45	92	465	1081	34	9
5	125	0	21	40	225	775	2277	186	10
5	127	0	4	1	15	118	211	13	1
5	129	1	1	0	11	19	14	3	1
5	131	6	77	97	600	1261	3804	199	12
5	133	0	4	1	26	123	273	15	1
5	135	0	3	1	12	73	144	6	2
5	137	0	5	0	26	60	136	12	6
5	139	1	4	36	205	522	802	62	7
5	141	1	3	0	39	63	234	24	5
5	143	7	131	70	733	1285	5033	331	30
5	145	1	13	23	118	915	1472	173	5
5	147	0	1	1	0	8	61	1	2
5	149	1	5	6	48	198	239	25	4
6	1	153	477	6220	5050	13245	35841	13044	337
6	3	0	3	0	5	18	20	5	0
6	5	0	5	14	111	241	512	44	2
6	7	11	75	167	431	1919	3147	593	62
6	9	0	18	9	74	391	662	96	2
6	11	1	7	12	26	171	331	53	2
6	13	56	169	1603	2556	8556	16973	7258	164
6	15	1	22	24	108	288	283	116	6
6	17	3	26	57	358	983	1759	209	12
6	19	76	170	1410	3448	10493	24451	6909	415
6	21	0	2	7	69	230	400	102	7
6	23	2	39	130	218	1130	3212	508	48
6	25	3	20	111	358	2037	3508	718	28
6	27	0	4	4	75	103	211	11	0
6	29	65	174	1313	3424	10931	17584	6246	589
6	31	4	55	106	602	813	2222	405	34
6	33	3	33	60	280	766	958	201	25
6	35	1	8	11	112	166	334	31	9
6	37	600	1976	18923	23057	49107	142604	40555	2210
6	39	2	35	139	758	1654	1715	648	11
6	41	0	30	156	304	1253	3254	584	42
6	43	3	2	2	64	93	222	22	0
6	45	6	27	46	279	563	981	190	38
6	47	23	54	331	1425	2686	6047	1358	83
6	49	1	12	3	53	58	90	4	5
6	51	0	4	9	31	86	170	2	1
6	53	45	94	706	1021	2912	5612	1774	64
6	55	2	30	71	382	658	1895	310	11
6	57	1	19	19	204	617	1071	155	14
6	59	51	398	2132	4208	11819	48899	7103	298
6	61	2	50	140	488	1601	4696	578	37
6	63	0	15	1	92	143	271	23	0
6	65	76	322	2349	4242	19105	39880	9191	241
6	67	79	383	2560	4986	11383	28679	8416	244
6	69	1	15	33	168	357	562	104	12
6	71	102	422	2923	5585	18788	32802	11509	367
6	73	107	692	3200	7840	14076	43412	12136	346
6	75	69	110	3554	2141	5401	29256	5381	211
6	77	89	152	1992	4016	8019	16847	4398	158
6	79	6	69	78	753	1568	4266	418	87
6	81	10	105	504	1140	3259	9543	1563	84
6	83	6	146	311	1180	2430	6933	801	54
6	85	55	402	1639	2846	8940	28055	10997	312
6	87	10	76	220	735	1633	6104	972	43
6	89	7	97	165	1029	1754	3623	903	35
6	91	0	0	0	17	16	37	2	1
6	93	5	12	13	74	240	505	74	2
6	95	28	115	659	1044	4322	6435	2433	118
6	97	4	152	232	1404	1826	5982	706	62
6	99	38	129	788	1920	5551	12425	4085	117
6	101	5	26	45	242	758	1786	288	15
6	103	3	17	36	298	451	896	160	5
6	105	4	3	1	13	81	82	24	0
6	107	33	115	412	1540	4364	9194	1835	39
6	109	0	15	16	74	468	637	85	25
6	111	21	100	617	926	3113	11404	1404	128
6	113	0	71	162	323	1312	4122	522	106
6	115	6	27	39	213	612	1148	253	27
6	777	5	7	12	247	73	197	24	5
8	1	22	274	238	1044	2175	9187	1464	101
8	3	0	3	3	22	52	226	15	3
8	5	22	265	552	970	2879	11787	1348	110
8	7	0	3	1	20	65	125	8	3
8	9	0	0	0	5	2	10	0	0
8	11	0	0	1	13	37	50	2	0
8	13	0	66	97	361	1106	5226	291	106
8	14	1	7	6	16	90	1081	47	6
8	15	0	2	0	8	48	221	4	1
8	17	0	0	0	2	3	15	2	1
8	19	0	1	1	22	30	108	11	8
8	21	0	0	0	3	23	20	7	3
8	23	0	0	0	6	8	1	4	0
8	25	0	0	0	11	1	1	0	0
8	27	0	1	0	4	13	35	3	1
8	29	0	4	5	24	98	446	28	10
8	31	39	383	1170	2299	5152	14857	3688	98
8	33	0	0	0	1	15	11	0	0
8	35	1	50	15	188	539	2438	93	28
8	37	2	18	4	66	116	704	18	11
8	39	0	1	1	9	39	66	3	0
8	41	20	448	566	1449	4680	14760	2068	117
8	43	0	23	5	90	198	625	30	4
8	45	1	11	4	54	178	784	61	3
8	47	0	3	0	16	28	185	9	0
8	49	0	1	1	3	6	39	0	0
8	51	0	5	2	41	35	260	13	0
8	53	0	0	0	0	5	5	0	0
8	55	0	4	6	17	47	97	11	0
8	57	0	0	0	2	2	4	0	0
8	59	8	172	238	830	2186	11565	1151	69
8	61	0	0	0	2	0	0	1	0
8	63	0	4	0	19	15	84	7	0
8	65	0	2	1	9	12	52	2	0
8	67	2	9	8	79	148	647	34	7
8	69	3	87	75	548	1098	6270	252	52
8	71	0	1	7	10	41	121	5	0
8	73	0	0	0	9	12	49	4	0
8	75	2	4	4	36	150	364	14	1
8	77	5	108	44	311	573	3456	262	35
8	79	0	0	0	0	0	0	1	0
8	81	1	4	0	12	47	230	7	4
8	83	1	1	5	52	60	326	25	1
8	85	2	4	3	63	203	680	47	5
8	87	0	0	3	22	94	389	15	2
8	89	0	7	3	24	98	203	10	2
8	91	0	0	0	1	4	24	0	0
8	93	0	3	0	17	27	41	2	4
8	95	0	0	0	1	5	9	1	0
8	97	0	6	1	20	26	368	6	2
8	99	0	0	2	17	61	245	12	0
8	101	8	22	199	581	1962	4931	518	43
8	103	0	1	1	7	15	65	4	0
8	105	2	1	5	10	72	156	3	1
8	107	1	8	4	30	55	296	26	3
8	109	0	0	0	15	31	47	6	1
8	111	0	0	0	1	4	11	1	0
8	113	0	0	0	6	8	105	2	0
8	115	0	0	0	5	6	13	1	0
8	117	1	17	2	17	68	771	20	7
8	119	0	5	0	43	52	179	12	3
8	121	0	3	0	13	15	57	5	1
8	123	6	61	89	583	971	4127	286	52
8	125	2	3	0	2	7	40	3	0
8	777	0	4	1	11	5	0	5	2
9	1	33	485	948	1277	3214	11574	1515	65
9	3	34	129	1153	1429	4293	16180	2020	140
9	5	2	38	19	66	386	1877	103	8
9	7	2	19	37	76	316	1457	115	4
9	9	33	140	1351	1864	4218	18049	2108	58
9	11	5	42	99	425	662	2537	168	35
9	13	0	12	8	34	164	559	51	6
9	15	0	11	21	41	194	561	74	8
9	777	0	1	1	6	9	92	7	0
9	999	8	56	72	206	1331	3018	317	70
10	1	4	47	161	693	1230	4743	213	196
10	3	46	130	1167	1855	4310	12637	1015	22
10	5	6	72	170	697	1850	4502	210	8
11	1	88	236	4037	3505	3519	23575	3663	51
12	1	10	138	253	1133	1917	6331	357	25
12	3	0	4	9	51	51	230	16	0
12	5	9	70	168	623	1558	5538	295	20
12	7	0	12	6	112	179	339	26	2
12	9	30	199	505	2229	3945	11867	847	64
12	11	80	401	3408	4771	17400	45279	4320	180
12	13	0	2	0	18	33	75	6	0
12	15	1	24	37	337	910	2475	122	7
12	17	5	26	57	363	737	1971	129	16
12	19	7	49	86	656	842	3330	126	22
12	21	6	41	151	631	1356	3932	243	16
12	23	3	20	46	373	812	1317	53	3
12	27	1	6	30	112	319	487	23	4
12	29	0	5	5	48	213	194	27	4
12	31	94	355	1436	3621	8025	27335	1712	96
12	33	22	162	502	1756	3899	9920	680	52
12	35	1	8	38	210	436	1432	74	6
12	37	1	16	1	74	84	130	11	1
12	39	5	12	25	202	444	659	42	5
12	41	0	0	1	32	94	137	16	0
12	43	0	3	1	35	72	111	11	0
12	45	1	4	5	59	125	134	8	2
12	47	0	0	5	44	148	178	11	1
12	49	1	9	12	54	229	471	36	0
12	51	0	15	37	181	595	646	52	8
12	53	2	46	71	396	1249	3213	166	7
12	55	3	24	65	173	840	1527	105	10
12	57	53	187	1130	3200	7139	21548	1811	110
12	59	1	5	3	39	96	137	16	1
12	61	1	17	64	356	851	2830	102	1
12	63	0	17	27	163	245	577	24	5
12	65	0	3	6	79	103	64	9	2
12	67	1	1	1	24	28	38	1	1
12	69	8	65	130	794	2003	4934	375	25
12	71	45	109	553	1527	4171	9927	923	46
12	73	17	137	576	1142	3378	7002	641	25
12	75	0	18	5	89	323	590	45	1
12	77	1	1	0	11	22	31	0	0
12	79	1	7	13	133	153	317	16	4
12	81	26	141	388	1449	2720	7699	404	14
12	83	21	166	162	1267	1989	5080	242	16
12	85	4	36	88	269	721	2369	133	11
12	86	210	570	6006	10383	21105	82992	9451	226
12	87	3	33	66	289	638	2549	144	6
12	89	1	4	21	95	412	926	72	12
12	91	2	72	108	718	920	3889	219	2
12	93	0	19	30	150	550	786	51	0
12	95	76	450	1977	5616	14034	32034	4013	50
12	97	8	75	209	1166	2801	5962	367	7
12	99	74	381	1883	4230	10230	31147	2641	157
12	101	12	107	304	1094	3597	8943	657	91
12	103	44	361	1206	3505	7392	24499	1755	167
12	105	39	126	421	1584	5796	12467	825	90
12	107	5	37	51	428	1029	1952	80	7
12	109	8	14	58	510	929	3514	167	4
12	111	7	104	223	796	2001	4673	273	15
12	113	0	25	27	193	597	1549	100	7
12	115	17	71	288	861	2741	7901	378	26
12	117	17	86	357	985	2478	7200	504	17
12	119	0	16	17	119	321	559	45	1
12	121	1	2	17	135	337	402	26	1
12	123	3	10	6	135	117	164	15	3
12	125	1	1	7	30	64	80	9	2
12	127	19	96	422	1623	4095	12072	1046	29
12	129	0	13	4	75	149	513	22	7
12	131	1	14	18	183	375	980	70	5
12	133	0	3	4	62	100	283	17	2
12	777	0	3	17	44	73	932	72	0
13	1	1	3	3	23	147	438	13	0
13	3	1	2	4	24	72	138	7	0
13	5	0	7	12	25	43	113	5	0
13	7	0	0	0	7	7	20	3	0
13	9	2	18	15	196	359	1044	40	3
13	11	0	2	1	52	109	428	29	0
13	13	0	11	22	296	409	1149	94	7
13	15	2	23	38	350	1032	2545	287	6
13	17	0	23	12	54	180	303	24	3
13	19	0	4	8	25	149	274	11	1
13	21	24	56	292	439	2395	6307	683	211
13	23	0	4	5	11	105	260	6	1
13	25	1	9	5	23	229	119	0	0
13	27	0	12	10	65	117	328	34	0
13	29	0	5	8	41	122	451	29	0
13	31	4	23	61	35	514	1735	91	2
13	33	2	1	11	137	215	397	21	0
13	35	0	10	12	43	118	392	49	0
13	37	0	0	14	31	21	49	7	0
13	39	2	7	23	175	343	1055	46	5
13	43	0	1	9	18	61	139	0	0
13	45	3	35	71	229	903	2402	162	8
13	47	3	8	18	102	347	1428	136	7
13	49	0	2	1	15	45	141	7	2
13	51	24	39	537	474	2458	6876	759	39
13	53	0	0	0	0	19	3	1	1
13	55	0	1	0	40	144	335	15	0
13	57	3	35	32	136	774	2189	168	1
13	59	5	55	162	256	1193	3470	255	25
13	61	0	0	0	2	2	0	0	0
13	63	28	71	693	728	4477	7068	1636	34
13	65	2	0	8	26	75	171	2	1
13	67	15	119	646	1115	4322	11263	1136	44
13	69	4	22	55	101	479	1458	56	7
13	71	4	11	41	123	403	1250	65	9
13	73	1	12	22	42	451	2035	110	11
13	75	0	9	6	22	153	185	11	0
13	77	2	14	54	150	609	1937	145	9
13	79	1	1	6	39	162	262	20	0
13	81	3	9	44	55	333	993	36	4
13	83	0	1	1	36	62	169	22	0
13	85	0	0	2	9	69	281	24	3
13	87	3	2	11	111	254	743	25	0
13	89	80	163	2140	1847	10669	21449	5575	184
13	91	0	5	4	59	211	714	20	0
13	93	0	1	5	36	38	125	5	0
13	95	4	32	240	589	1600	3844	266	13
13	97	1	22	77	276	815	3103	229	9
13	99	1	3	8	55	105	196	6	0
13	101	0	0	0	0	20	25	1	0
13	103	1	16	10	22	193	341	29	1
13	105	2	3	9	60	204	523	34	0
13	107	2	6	14	118	253	799	59	2
13	109	0	0	3	10	53	95	12	0
13	111	0	3	2	80	172	285	39	4
13	113	3	7	21	54	286	1125	130	5
13	115	5	25	56	256	903	2700	144	36
13	117	0	15	10	142	395	1432	33	2
13	119	0	4	6	26	133	361	26	0
13	121	123	216	3365	4428	11091	31070	7645	135
13	123	0	6	0	58	127	410	12	0
13	125	0	0	0	0	0	0	0	0
13	127	6	13	125	312	957	2814	112	8
13	129	4	10	11	158	345	1110	63	1
13	131	0	7	5	27	130	346	20	0
13	133	1	0	4	44	100	340	11	0
13	135	39	198	807	857	4849	12877	1305	65
13	137	0	7	1	53	269	576	33	0
13	139	7	36	96	185	923	3078	324	22
13	141	0	0	2	5	42	70	8	0
13	143	1	6	4	155	310	442	90	1
13	145	0	1	2	34	82	272	12	2
13	147	0	3	6	86	200	677	14	0
13	149	0	3	0	26	38	111	15	0
13	151	5	39	123	222	1609	3945	444	16
13	153	8	31	166	285	1142	4198	211	18
13	155	0	9	0	27	73	171	11	2
13	157	0	11	9	71	242	954	54	2
13	159	0	4	0	34	75	110	10	0
13	161	1	0	3	77	115	346	10	2
13	163	0	1	17	32	121	210	13	0
13	165	0	0	0	0	0	0	0	0
13	167	0	1	3	20	62	108	8	0
13	169	1	2	3	18	150	372	36	4
13	171	3	8	7	41	79	384	34	4
13	173	0	4	4	27	83	114	12	0
13	175	3	4	54	102	486	1384	75	1
13	177	1	1	5	85	150	453	27	2
13	179	2	26	41	178	601	1482	79	6
13	181	0	0	4	26	59	152	8	0
13	183	1	12	3	10	154	130	19	1
13	185	5	44	97	214	901	2342	111	13
13	187	0	11	2	68	117	311	28	2
13	189	1	1	1	10	107	161	15	0
13	191	1	0	4	20	146	231	23	0
13	193	1	0	5	21	103	477	20	0
13	195	0	3	7	34	193	512	46	6
13	197	0	0	0	4	18	56	2	0
13	199	0	1	4	53	181	424	42	2
13	201	0	1	1	15	27	79	11	1
13	205	0	3	12	52	119	415	29	0
13	207	0	2	6	31	126	359	37	4
13	209	0	2	0	1	4	9	1	0
13	211	0	3	9	20	104	280	25	4
13	213	1	6	3	82	170	646	50	0
13	215	17	31	424	523	2712	7767	846	28
13	217	5	26	54	287	986	1612	248	11
13	219	0	0	4	36	61	397	32	1
13	221	1	12	4	43	112	320	12	1
13	223	1	18	32	170	687	2012	271	9
13	225	0	2	19	157	286	688	47	1
13	227	2	0	0	55	134	468	23	0
13	229	0	4	16	41	143	218	13	0
13	231	0	3	2	6	44	69	1	0
13	233	3	12	49	112	580	1254	91	5
13	235	0	2	2	35	80	171	4	0
13	237	0	7	13	94	173	324	11	1
13	239	0	0	0	13	18	24	2	0
13	241	1	0	1	29	136	201	17	0
13	243	0	0	2	7	39	71	2	0
13	245	28	90	546	255	3186	7591	1193	51
13	247	1	14	56	240	804	2234	271	3
13	249	0	0	0	6	16	37	1	0
13	251	1	1	12	21	99	242	22	0
13	253	1	1	4	27	55	125	5	0
13	255	3	24	82	240	797	2288	160	3
13	257	4	5	15	74	161	733	20	0
13	259	0	0	1	2	16	4	0	0
13	261	0	4	40	192	741	826	42	0
13	263	1	0	3	6	29	76	6	0
13	265	0	0	0	3	24	28	6	0
13	267	0	2	2	12	129	246	34	0
13	269	0	0	1	22	53	60	4	1
13	271	0	2	2	41	69	155	9	0
13	273	2	1	1	30	81	61	6	2
13	275	3	13	32	105	536	1155	100	9
13	277	5	18	45	154	369	1514	68	16
13	279	3	8	14	52	235	610	34	1
13	281	0	0	1	14	38	152	5	0
13	283	0	0	0	4	26	50	0	0
13	285	5	15	76	122	706	1935	119	7
13	287	0	6	4	38	46	161	19	3
13	289	0	0	4	9	59	101	6	1
13	291	0	0	1	17	96	183	13	5
13	293	1	6	16	25	269	617	20	1
13	295	0	8	31	110	518	1310	103	0
13	297	21	27	42	167	817	1719	163	4
13	299	3	7	44	92	309	1275	56	8
13	301	0	0	1	34	30	60	5	0
13	303	1	1	10	39	132	375	9	2
13	305	8	6	24	163	318	1289	24	0
13	307	0	0	0	1	23	16	3	0
13	309	0	1	1	9	23	65	4	0
13	311	2	6	2	42	212	426	28	0
13	313	3	19	38	212	780	2121	121	14
13	315	0	5	1	14	59	55	6	0
13	317	1	1	1	50	50	126	5	0
13	319	0	1	1	9	50	96	6	0
13	321	2	1	7	46	225	364	24	1
15	1	5	41	74	301	1184	3751	443	19
15	3	11	165	914	1246	4713	21978	2754	210
15	5	0	0	0	0	0	0	0	0
15	7	0	29	22	159	689	1753	151	10
15	9	5	44	115	247	1067	4419	517	73
16	1	3	123	81	653	1479	6426	229	82
16	3	0	0	0	1	3	13	0	0
16	5	3	14	25	154	337	1773	69	7
16	7	0	1	0	4	18	77	1	1
16	9	0	0	1	24	37	35	5	2
16	11	0	16	5	45	212	506	39	4
16	13	1	4	0	65	61	114	24	2
16	15	0	2	2	11	33	109	13	1
16	17	2	4	2	32	295	606	64	1
16	19	0	41	15	145	423	1875	96	8
16	21	0	1	0	10	78	60	9	0
16	23	0	0	0	5	0	1	0	0
16	25	0	0	0	1	3	6	0	0
16	27	4	69	33	324	1050	2754	179	34
16	29	0	1	0	12	10	23	1	0
16	31	2	9	1	22	70	269	16	0
16	33	0	0	0	0	3	5	0	0
16	35	0	0	0	12	43	112	4	0
16	37	0	1	0	0	9	19	1	1
16	39	0	7	3	53	57	247	10	10
16	41	0	4	0	6	23	83	2	0
16	43	0	5	0	10	27	83	3	0
16	45	0	5	0	22	41	70	4	3
16	47	0	5	1	22	133	104	12	3
16	49	0	0	0	22	48	81	7	1
16	51	0	5	0	13	33	121	11	0
16	53	0	13	7	45	138	186	21	6
16	55	1	58	23	343	1173	3096	274	37
16	57	0	9	4	44	164	648	30	4
16	59	0	1	0	10	16	33	1	0
16	61	0	0	0	2	11	16	5	0
16	63	0	2	1	5	9	3	1	0
16	65	1	9	1	19	46	260	5	2
16	67	0	10	3	11	100	213	29	5
16	69	0	9	10	43	324	1016	63	2
16	71	0	0	0	1	6	19	1	0
16	73	2	3	0	18	42	83	14	2
16	75	0	4	0	49	119	292	14	5
16	77	0	1	0	10	14	84	6	0
16	79	2	3	0	29	74	152	20	2
16	81	0	2	0	4	26	29	1	0
16	83	4	24	19	171	334	1177	77	12
16	85	0	9	0	22	47	151	6	1
16	87	0	0	0	4	19	27	4	0
16	777	4	20	5	78	49	135	7	15
17	1	0	28	16	160	287	1251	30	9
17	3	1	2	5	119	82	184	12	2
17	5	0	0	2	3	59	162	9	1
17	7	0	1	0	3	12	75	2	0
17	9	0	0	0	14	14	22	1	2
17	11	0	9	3	35	140	368	10	7
17	13	0	0	0	0	0	0	0	0
17	15	0	1	0	6	45	173	2	1
17	17	0	1	0	29	11	29	2	0
17	19	4	129	226	789	1571	4040	166	47
17	21	0	4	0	38	83	238	23	9
17	23	0	4	0	33	49	80	4	5
17	25	0	2	0	3	38	200	3	1
17	27	0	6	3	40	63	338	10	0
17	29	2	26	14	105	140	517	14	18
